Sample name,x,y,z,r,signal
NOD2S4-L1,62.222923,41.897926,30.127619,10,1
NOD2S4-L2,62.773834,41.897896,12.969231,10,5
NOD2S4-L3,65.370445,34.346024,-4.0904589,10,10
NOD2S4-L4,65.957108,28.421637,-16.048494,10,50
NOD2S4-R3,87.458336,34.351086,-4.0802007,10,100
NOD2S4-R4,87.979904,27.900906,-17.099688,10,1
NOD2S4-L5,64.291267,41.942429,-22.471901,10,5
NOD2S4-L6,65.098366,42.018219,-33.582684,10,10
NOD2S4-R1,88.110733,41.916256,31.24197,10,50
NOD2S4-R2,88.805923,41.90052,13.417216,10,100
NOD2S4-R5,86.607513,41.910164,-22.500671,10,1
NOD2S4-R6,87.135719,41.925735,-33.733326,10,5
NOD2P4-L1,90.460815,-41.896656,29.555828,10,10
NOD2P4-L2,91.239845,-41.898888,7.5168042,10,50
NOD2P4-R1,62.718479,-41.914349,29.282011,10,100
NOD2P4-R2,62.620953,-41.898903,7.4605951,10,1
NOD2P4-L3,88.218979,-36.249474,-1.7862513,10,5
NOD2P4-R4,62.351902,-28.338247,-17.213438,10,10
NOD2P4-L5,89.160355,-41.91,-21.583906,10,50
NOD2P4-L6,89.165604,-41.90942,-35.408241,10,100
NOD2P4-R5,60.465019,-41.909939,-21.566927,10,1
NOD2P4-R6,60.395508,-41.901348,-35.382339,10,5
NOD2P4-L4,88.229439,-28.33806,-17.236767,10,10
NOD2P4-R3,62.656254,-35.646622,-1.5417593,10,50
NOD2D4-L1,89.220734,-29.775757,-42.029022,10,100
NOD2D4-L2,89.226631,-12.913311,-42.028999,10,1
NOD2D4-L3,89.2855,-3.6132798,-42.028374,10,5
NOD2D4-L4,89.201256,15.011116,-42.029003,10,10
NOD2D4-L5,89.348053,22.204962,-42.029011,10,50
NOD2D4-L6,89.397522,30.012581,-42.029003,10,100
NOD2D4-R1,61.745602,-29.418446,-42.029026,10,1
NOD2D4-R2,61.633919,-11.746022,-42.028473,10,5
NOD2D4-R3,61.775772,-3.7602074,-42.029022,10,10
NOD2D4-R4,61.669147,14.965566,-42.0285,10,50
NOD2D4-R5,61.504917,22.465334,-42.0285,10,100
NOD2D4-R6,60.632511,30.177244,-42.029026,10,1
NOD2O4-L1,61.630291,-33.425602,42.047199,10,5
NOD2O4-L2,61.706032,-24.885937,42.047211,10,10
NOD2O4-L3,61.428776,-18.205099,42.047173,10,50
NOD2O4-L4,61.899227,-3.639163,42.050205,10,100
NOD2O4-L5,61.654537,15.020558,42.051613,10,1
NOD2O4-L6,61.688824,34.309994,42.049862,10,5
NOD2O4-R1,88.223984,-33.364056,42.047169,10,10
NOD2O4-R2,88.636864,-25.567453,42.047211,10,50
NOD2O4-R3,89.24398,-18.21493,42.04718,10,100
NOD2O4-R4,89.135727,-3.5495775,42.051678,10,1
NOD2O4-R5,89.284798,14.840893,42.049854,10,5
NOD2O4-R6,90.002205,34.440693,42.051617,10,10
